지점명,주소,TM좌표
양평,경기도 양평군 양평읍,"('245391.196396', '443606.66811')"
이천,경기도 이천시 부발읍,"('245065.812025', '419206.00769')"
인제,강원특별자치도 인제군 인제읍,"('309459.755819', '507758.306094')"
홍천,강원특별자치도 홍천군 홍천읍,"('277048.39413', '462789.462389')"
태백,강원특별자치도 태백시 황지동,"('374632.483545', '409522.50387')"
정선군,강원특별자치도 정선군 정선읍,"('343677.728716', '432166.653754')"
제천,충청북도 제천시 신월동,"('305633.219002', '407766.015574')"
보은,충청북도 보은군 보은읍,"('264717.900241', '333368.980738')"
천안,충청남도 천안시 병천면,"('227857.156023', '365987.58476')"
보령,충청남도 보령시 요암동,"('159761.21111', '313987.65008')"
부여,충청남도 부여군 부여읍,"('195251.947039', '309472.123316')"
금산,충청남도 금산군 금산읍,"('242407.394861', '288471.457321')"
세종,세종특별자치시 세종시 새롬동,"('222061.507', '331941.6172')"
부안,전북특별자치도 부안군 행안면,"('173317.401904', '247029.1184')"
임실,전북특별자치도 임실군 임실읍,"('224097.047755', '232549.537637')"
정읍,전북특별자치도 정읍시 상평동,"('184145.126758', '229019.745221')"
남원,전북특별자치도 남원시 도통동,"('235789.634003', '213173.908862')"
장수,전북특별자치도 장수군 장수읍,"('246251.086509', '236102.032793')"
고창군,전북특별자치도 고창군 고창읍,"('173062.963563', '215121.218651')"
영광군,전라남도 영광군 군서면,"('151673.102451', '196210.437365')"
김해시,경상남도 김해시 부원동,"('372110.624295', '192907.167165')"
순창군,전북특별자치도 순창군 순창읍,"('212048.855573', '207852.962524')"
북창원,경상남도 창원시 성산구 내동,"('351386.538486', '192636.316387')"
양산시,경상남도 양산시 동면,"('388267.934625', '204375.478435')"
보성군,전라남도 보성군 득량면,"('215345.395471', '139206.581291')"
강진군,전라남도 강진군 강진읍,"('176159.934081', '125916.640709')"
장흥,전라남도 장흥군 장흥읍,"('191241.388482', '131267.797162')"
해남,전라남도 해남군 해남읍,"('160109.822023', '117843.034808')"
고흥,전라남도 고흥군 고흥읍,"('225260.100934', '122664.698033')"
의령군,경상남도 의령군 의령읍,"('314808.813287', '201169.484109')"
함양군,경상남도 함양군 함양읍,"('263735.147447', '222439.881085')"
광양시,전라남도 광양시 중동,"('263217.646941', '160375.623739')"
진도군,전라남도 진도군 진도읍,"('130233.440583', '110126.885748')"
봉화,경상북도 봉화군 춘양면,"('364928.13333', '390726.36689')"
영주,경상북도 영주시 풍기읍,"('332636.049302', '378861.066552')"
문경,경상북도 문경시 유곡동,"('300433.301707', '348170.465165')"
청송군,경상북도 청송군 청송읍,"('388120.025405', '326720.1036')"
영덕,경상북도 영덕군 영해면,"('409143.387615', '339193.988534')"
의성,경상북도 의성군 의성읍,"('352526.246957', '317802.004608')"
구미,경상북도 구미시 남통동,"('317875.408386', '290458.296773')"
영천,경상북도 영천시 망정동,"('376021.050008', '277869.005757')"
경주시,경상북도 경주시 탑동,"('399889.787074', '259887.870269')"
거창,경상남도 거창군 거창읍,"('282213.616733', '244486.841101')"
합천,경상남도 합천군 합천읍,"('303176.209655', '234809.169639')"
밀양,경상남도 밀양시 내이동,"('357923.738564', '223560.347426')"
산청,경상남도 산청군 산청읍,"('281720.874851', '212363.656271')"
거제,경상남도 거제시 옥포동,"('354435.016748', '156453.511179')"
남해,경상남도 남해군 이동면,"('287164.739452', '143714.437652')"
북부산,부산광역시 강서구 대저1동,"('378921.546542', '191763.157347')"
